id_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1353014,1750000.0,84.0,AV NIEL,75017.0,145.0,6.0,2.296995,48.883214
2022-1353015,1054200.0,23.0,RUE DE NAPLES,75008.0,77.0,3.0,2.319202,48.879549
2022-1353017,180000.0,19.0,RUE DE LA CR DES NOUES,75020.0,20.0,1.0,2.402124,48.864001
2022-1353019,230000.0,13.0,RUE EUGENE VARLIN,75010.0,29.0,2.0,2.364113,48.878319
2022-1353020,881000.0,196.0,BD PEREIRE,75017.0,78.0,3.0,2.289105,48.881146
2022-1353021,915000.0,3.0,RUE MALHER,75004.0,67.0,3.0,2.361008,48.855637
2022-1353022,272000.0,14.0,RUE JUILLET,75020.0,31.0,1.0,2.391402,48.867897
2022-1353023,261550.0,236.0,RUE SAINT MARTIN,75003.0,24.0,1.0,2.353398,48.864358
2022-1353024,140000.0,58.0,RUE CHAMPIONNET,75018.0,18.0,1.0,2.347331,48.895868
2022-1353027,760000.0,40.0,RUE DU DOCTEUR HEULIN,75017.0,67.0,2.0,2.324759,48.891013
2022-1353028,317000.0,73.0,RUE DE BAGNOLET,75020.0,35.0,2.0,2.399808,48.858197
2022-1353029,1050000.0,11.0,RUE JEAN MERMOZ,75008.0,52.0,2.0,2.311265,48.871131
2022-1353031,390000.0,12.0,RUE DE SAINTONGE,75003.0,33.0,1.0,2.362349,48.861542
2022-1353032,306000.0,6.0,RUE ANDRE ANTOINE,75018.0,26.0,2.0,2.337717,48.88289
2022-1353033,435000.0,79.0,RUE VIEILLE DU TEMPLE,75003.0,18.0,1.0,2.359295,48.859193
2022-1353034,888976.0,15.0,RUE DU POTEAU,75018.0,69.0,3.0,2.342388,48.893395
2022-1353035,165000.0,4.0,RUE JEAN COTTIN,75018.0,21.0,1.0,2.361734,48.893485
2022-1353036,128000.0,2.0,CITE ADRIENNE,75020.0,15.0,1.0,2.401826,48.85838
