id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1353372,Appartement,155100.0,1.0,RUE DE L ADJUDANT REAU,75020.0,15.0,1.0,2.405022,48.867372
2022-1353374,Appartement,71000.0,342.0,RUE DES PYRENEES,75020.0,7.0,1.0,2.388517,48.874112
2022-1353375,Appartement,79000.0,43.0,RUE SAINTE-ANNE,75001.0,4.0,1.0,2.335481,48.866631
2022-1353376,Appartement,324230.0,69.0,RUE MARCADET,75018.0,31.0,2.0,2.347974,48.890089
2022-1353410,Appartement,350000.0,73.0,RUE DAMREMONT,75018.0,37.0,2.0,2.335689,48.89296
2022-1353414,Appartement,273500.0,10.0,RUE GUSTAVE ROUANET,75018.0,27.0,2.0,2.340625,48.896686
2022-1353418,Appartement,188000.0,135.0,BD DAVOUT,75020.0,19.0,1.0,2.409404,48.858276
2022-1353420,Appartement,194500.0,42.0,AV MATHURIN MOREAU,75019.0,18.0,1.0,2.375554,48.878369
2022-1353422,Appartement,165000.0,31.0,RUE DE L ECHIQUIER,75010.0,19.0,1.0,2.350121,48.87141
2022-1353423,Appartement,178600.0,50.0,RUE DOUDEAUVILLE,75018.0,22.0,1.0,2.353936,48.888733
2022-1353424,Appartement,328545.1,131.0,RUE DE BAGNOLET,75020.0,35.0,2.0,2.405112,48.861851
2022-1353427,Appartement,384000.0,95.0,RUE DUHESME,75018.0,38.0,1.0,2.344345,48.894989
2022-1353430,Appartement,495000.0,10.0,RUE DE ROCHECHOUART,75009.0,44.0,3.0,2.345008,48.877038
2022-1353431,Appartement,800000.0,27.0,RUE DU BOURG TIBOURG,75004.0,67.0,2.0,2.356165,48.85757
2022-1353434,Appartement,169000.0,56.0,RUE DU FBG SAINT DENIS,75010.0,10.0,1.0,2.35444,48.8723
2022-1353451,Appartement,320700.0,19.0,RUE DE LIEGE,75009.0,30.0,1.0,2.327211,48.879524
2022-1353457,Appartement,430000.0,55.0,RUE DE PROVENCE,75009.0,35.0,2.0,2.334603,48.874036
2022-1353458,Appartement,934850.0,5.0,RUE TROYON,75017.0,73.0,3.0,2.295343,48.875842
2022-1353483,Appartement,220000.0,70.0,RUE DES PRAIRIES,75020.0,24.0,1.0,2.401109,48.863905
2022-1353490,Appartement,175000.0,18.0,RUE FOURCROY,75017.0,13.0,1.0,2.298357,48.880893
2022-1353494,Appartement,512500.0,33.0,RUE CHARLOT,75003.0,38.0,2.0,2.361699,48.862637
2022-1353497,Appartement,250000.0,8.0,RUE AUGER,75020.0,30.0,2.0,2.399414,48.850911
2022-1353502,Appartement,302400.0,52.0,RUE GRENETA,75002.0,26.0,1.0,2.34816,48.865622
2022-1353506,Appartement,667200.0,44.0,RUE DE TURENNE,75003.0,48.0,2.0,2.364673,48.857803
2022-1353509,Appartement,110000.0,36.0,RUE DE LORRAINE,75019.0,13.0,1.0,2.381773,48.886723
2022-1353510,Appartement,360000.0,8.0,RUE MARX DORMOY,75018.0,35.0,2.0,2.359741,48.885343
2022-1353515,Appartement,451000.0,6.0,RUE ANDRE GILL,75018.0,39.0,1.0,2.340197,48.882723
2022-1353519,Appartement,220000.0,26.0,RUE POUCHET,75017.0,25.0,2.0,2.319835,48.892823
2022-1353528,Appartement,133500.0,9.0,RUE DES DEUX GARES,75010.0,12.0,1.0,2.357427,48.878216
2022-1353530,Appartement,104530.0,48.0,RUE DU COLISEE,75008.0,12.0,1.0,2.311651,48.871803
2022-1353536,Appartement,196400.0,11.0,RUE FENELON,75010.0,21.0,1.0,2.351201,48.878879
2022-1353539,Appartement,207000.0,13.0,RUE DE LA FELICITE,75017.0,26.0,2.0,2.309654,48.886876
2022-1353549,Appartement,400000.0,104.0,RUE DE RICHELIEU,75002.0,32.0,1.0,2.340274,48.871079
2022-1353552,Appartement,94564.0,7.0,RUE DE L ECHIQUIER,75010.0,10.0,1.0,2.352475,48.871026
2022-1353557,Appartement,314800.0,9.0,RUE DE ROCHECHOUART,75009.0,26.0,2.0,2.344208,48.877128
2022-1353559,Appartement,400000.0,83.0,RUE DE ROCHECHOUART,75009.0,37.0,2.0,2.346408,48.88243
2022-1353561,Appartement,237000.0,36.0,RUE DE LORRAINE,75019.0,27.0,1.0,2.381773,48.886723
2022-1353570,Appartement,244500.0,30.0,RUE DU FBG ST MARTIN,75010.0,24.0,1.0,2.356378,48.870022
2022-1353571,Appartement,395000.0,24.0,RUE DUHESME,75018.0,29.0,1.0,2.339214,48.890897
2022-1353573,Appartement,242000.0,11.0,RUE PIERRE FONTAINE,75009.0,22.0,1.0,2.334178,48.881143
2022-1353575,Appartement,230000.0,14.0,RUE TESSON,75010.0,22.0,1.0,2.372024,48.871116
2022-1353577,Appartement,528000.0,22.0,RUE VICQ D AZIR,75010.0,55.0,2.0,2.371308,48.875643
2022-1353580,Appartement,325000.0,39.0,RUE DES MONTIBOEUFS,75020.0,36.0,2.0,2.403961,48.866973
2022-1353584,Appartement,600000.0,16.0,AV DE WAGRAM,75008.0,40.0,1.0,2.29737,48.875819
2022-1353591,Appartement,185000.0,5.0,RUE JEAN LECLAIRE,75017.0,17.0,1.0,2.325247,48.893921
2022-1353592,Appartement,215000.0,11.0,RUE MONTCALM,75018.0,21.0,1.0,2.336128,48.892483
2022-1353597,Appartement,436200.0,5.0,RUE ORFILA,75020.0,40.0,2.0,2.394843,48.865731
2022-1353602,Appartement,643500.0,27.0,AV SECRETAN,75019.0,65.0,3.0,2.37288,48.881669
2022-1353617,Appartement,247000.0,26.0,RUE DES TROIS FRERES,75018.0,30.0,2.0,2.341015,48.884959
2022-1353618,Appartement,1200000.0,12.0,RUE DU FBG POISSONNIERE,75010.0,98.0,3.0,2.348335,48.871547
